Size,Type,Avg_Time,Std_Time,Min_Time,Max_Time
10,Random,1.0333333333333333e-06,6.149478998583781e-07,0.0,2e-06
10,Reverse,7.333333333333333e-07,6.39683829949492e-07,0.0,2e-06
10,Sorted,1.1e-06,1.9181528470973286e-06,0.0,1e-05
100,Random,0.0002724333333333333,0.0014127081520924644,7e-06,0.007752
100,Reverse,8.266666666666667e-06,2.5316388767553027e-06,5e-06,1.5e-05
100,Sorted,7.733333333333333e-06,3.814069537486386e-06,3e-06,1.8e-05
1000,Random,0.00044419999999999996,0.0014286335019026472,0.000132,0.008006
1000,Reverse,0.0001159,1.868680153809469e-05,7.8e-05,0.000152
1000,Sorted,0.00010663333333333333,3.484496038694571e-05,5.5e-05,0.000217
10000,Random,0.0027928,0.0003438206629565216,0.002322,0.00357
10000,Reverse,0.0022328666666666668,0.0010101915398212542,0.001451,0.005895
10000,Sorted,0.0020136,0.0013294836072960678,0.001214,0.008818
100000,Random,0.036050033333333335,0.0023320895097764145,0.032323,0.041446
100000,Reverse,0.035597866666666665,0.003536929388445658,0.030071,0.042064
100000,Sorted,0.03516816666666667,0.002388792684287556,0.031075,0.038921
1000000,Random,0.6584107333333333,0.0206980928822179,0.623906,0.696205
1000000,Reverse,0.8741557,0.041833684701858186,0.783905,0.959937
1000000,Sorted,0.8811651666666667,0.04151469583593952,0.821088,0.963705
