Size,Type,Penultimate_Time(s),Time(s),Time_Difference(s),Improvement(%)
10,Random,0.0,1e-06,1e-06,100.0
10,Reverse,0.0,1e-06,1e-06,100.0
10,Sorted,0.0,4e-06,4e-06,100.0
100,Random,7e-06,1.3e-05,5.999999999999999e-06,46.15384615384615
100,Reverse,7e-06,7e-06,0.0,0.0
100,Sorted,4e-06,7e-06,3e-06,42.85714285714286
1000,Random,0.000132,0.000134,1.9999999999999944e-06,1.4925373134328317
1000,Reverse,0.000101,0.000107,5.999999999999997e-06,5.607476635514016
1000,Sorted,7e-05,0.000113,4.3e-05,38.05309734513275
10000,Random,0.002527,0.001908,-0.0006190000000000002,-32.44234800838576
10000,Reverse,0.001451,0.001323,-0.00012800000000000008,-9.674981103552538
10000,Sorted,0.001287,0.001303,1.5999999999999955e-05,1.227935533384494
100000,Random,0.03392,0.023745,-0.010175,-42.85112655295852
100000,Reverse,0.033605,0.019463,-0.014142000000000002,-72.6609464111391
100000,Sorted,0.036813,0.019598,-0.017214999999999998,-87.84059597918153
1000000,Random,0.643957,0.486078,-0.157879,-32.48017807841539
1000000,Reverse,0.783905,0.632547,-0.151358,-23.92834050276106
1000000,Sorted,0.831863,0.613099,-0.21876400000000007,-35.681676205637274
