Size,Type,SortThreshold,MergeThreshold,Time(s)
10,Random,8,32,0.0
10,Reverse,4,16,0.0
10,Sorted,4,32,0.0
100,Random,32,16,7e-06
100,Reverse,4,8,5e-06
100,Sorted,4,32,3e-06
1000,Random,32,32,0.000132
1000,Reverse,4,16,7.8e-05
1000,Sorted,64,32,5.5e-05
10000,Random,16,16,0.002322
10000,Reverse,32,32,0.001451
10000,Sorted,8,32,0.001214
100000,Random,64,32,0.032323
100000,Reverse,16,32,0.030071
100000,Sorted,4,16,0.031075
1000000,Random,4,16,0.623906
1000000,Reverse,32,32,0.783905
1000000,Sorted,4,32,0.821088
